"Interval start","Graph 1"
"0.000","135"
"1.000","84"
"2.000","121"
"3.000","48"
"4.000","26"
"5.000","118"
"6.000","108"
"7.000","102"
"8.000","103"
"9.000","100"
"10.000","99"
"11.000","101"
"12.000","97"
"13.000","91"
"14.000","86"
"15.000","91"
"16.000","75"
"17.000","93"
"18.000","120"
"19.000","96"
"20.000","94"
"21.000","100"
"22.000","100"
"23.000","95"
"24.000","99"
"25.000","121"
"26.000","91"
"27.000","105"
"28.000","116"
"29.000","105"
"30.000","102"
"31.000","102"
"32.000","96"
"33.000","94"
"34.000","96"
"35.000","100"
"36.000","86"
"37.000","110"
"38.000","101"
"39.000","92"
"40.000","98"
"41.000","99"
"42.000","103"
"43.000","101"
"44.000","90"
"45.000","93"
"46.000","110"
"47.000","115"
"48.000","127"
"49.000","99"
"50.000","96"
"51.000","108"
"52.000","111"
"53.000","98"
"54.000","79"
"55.000","93"
"56.000","97"
"57.000","91"
"58.000","99"
"59.000","103"
"60.000","121"
"61.000","88"
"62.000","121"
"63.000","91"
"64.000","86"
"65.000","103"
"66.000","90"
"67.000","93"
"68.000","103"
"69.000","96"
"70.000","123"
"71.000","99"
"72.000","119"
"73.000","115"
"74.000","101"
"75.000","97"
"76.000","93"
"77.000","96"
"78.000","100"
"79.000","89"
"80.000","95"
"81.000","108"
"82.000","107"
"83.000","96"
"84.000","132"
"85.000","88"
"86.000","108"
"87.000","98"
"88.000","94"
"89.000","92"
"90.000","93"
"91.000","85"
"92.000","117"
"93.000","100"
"94.000","86"
"95.000","94"
"96.000","125"
"97.000","92"
"98.000","81"
"99.000","91"
"100.000","101"
"101.000","99"
"102.000","95"
"103.000","100"
"104.000","116"
"105.000","101"
"106.000","92"
"107.000","95"
"108.000","94"
"109.000","99"
"110.000","85"
"111.000","105"
"112.000","102"
"113.000","108"
"114.000","115"
"115.000","109"
"116.000","93"
"117.000","88"
"118.000","101"
"119.000","86"
"120.000","98"
"121.000","104"
"122.000","117"
"123.000","98"
"124.000","98"
"125.000","86"
"126.000","106"
"127.000","89"
"128.000","96"
"129.000","129"
"130.000","81"
"131.000","111"
"132.000","96"
"133.000","110"
"134.000","92"
"135.000","92"
"136.000","91"
"137.000","99"
"138.000","101"
"139.000","86"
"140.000","84"
"141.000","102"
"142.000","127"
"143.000","95"
"144.000","137"
"145.000","94"
"146.000","107"
"147.000","98"
"148.000","95"
"149.000","108"
"150.000","97"
"151.000","97"
"152.000","84"
"153.000","105"
"154.000","96"
"155.000","92"
"156.000","103"
"157.000","96"
"158.000","81"
"159.000","110"
"160.000","86"
"161.000","106"
"162.000","98"
"163.000","96"
"164.000","104"
"165.000","97"
"166.000","88"
"167.000","112"
"168.000","105"
"169.000","112"
"170.000","99"
"171.000","101"
"172.000","117"
"173.000","93"
"174.000","91"
"175.000","95"
"176.000","88"
"177.000","96"
"178.000","97"
"179.000","108"
"180.000","97"
"181.000","97"
"182.000","119"
"183.000","89"
"184.000","110"
"185.000","117"
"186.000","89"
"187.000","89"
"188.000","89"
"189.000","94"
"190.000","103"
"191.000","120"
"192.000","85"
"193.000","93"
"194.000","93"
"195.000","100"
"196.000","118"
"197.000","82"
"198.000","92"
"199.000","94"
"200.000","94"
"201.000","99"
"202.000","120"
"203.000","90"
"204.000","93"
"205.000","93"
"206.000","130"
"207.000","88"
"208.000","78"
"209.000","91"
"210.000","102"
"211.000","125"
"212.000","102"
"213.000","111"
"214.000","91"
"215.000","100"
"216.000","97"
"217.000","92"
"218.000","90"
"219.000","99"
"220.000","94"
"221.000","113"
"222.000","96"
"223.000","110"
"224.000","96"
"225.000","116"
"226.000","93"
"227.000","86"
"228.000","83"
"229.000","98"
"230.000","79"
"231.000","67"
"232.000","31"
"233.000","30"
"234.000","27"
"235.000","29"
"236.000","26"
"237.000","26"
"238.000","27"
"239.000","7"
"240.000","40"
"241.000","30"
"242.000","31"
"243.000","34"
"244.000","30"
"245.000","29"
"246.000","26"
"247.000","27"
"248.000","27"
"249.000","28"
"250.000","28"
"251.000","32"
"252.000","30"
"253.000","30"
"254.000","28"
"255.000","31"
"256.000","26"
"257.000","26"
"258.000","28"
"259.000","27"
"260.000","26"
"261.000","30"
"262.000","29"
"263.000","27"
"264.000","26"
"265.000","28"
"266.000","27"
"267.000","30"
"268.000","29"
"269.000","27"
"270.000","29"
"271.000","34"
"272.000","29"
"273.000","26"
"274.000","27"
"275.000","29"
"276.000","26"
"277.000","26"
"278.000","27"
"279.000","27"
"280.000","28"
"281.000","30"
"282.000","29"
"283.000","26"
"284.000","27"
"285.000","28"
"286.000","27"
"287.000","27"
"288.000","26"
"289.000","27"
"290.000","26"
"291.000","31"
"292.000","29"
"293.000","28"
"294.000","27"
"295.000","27"
"296.000","29"
"297.000","27"
"298.000","26"
"299.000","26"
"300.000","27"
"301.000","31"
"302.000","28"
"303.000","27"
"304.000","26"
"305.000","27"
"306.000","28"
"307.000","26"
"308.000","27"
"309.000","27"
"310.000","26"
"311.000","31"
"312.000","28"
"313.000","27"
"314.000","27"
"315.000","29"
"316.000","28"
"317.000","27"
"318.000","26"
"319.000","26"
"320.000","27"
"321.000","31"
"322.000","28"
"323.000","28"
"324.000","27"
"325.000","27"
"326.000","27"
"327.000","28"
"328.000","4"
"329.000","2"
"330.000","1"
